,ID,Date,Job Title,Job Location,Hired,Easy Apply
0,24368,4/11/19 9:30,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",False,False
1,24369,6/25/19 13:30,PHARMACEUTICAL DATA ANALYST,"Austin, TX",False,False
2,24371,10/26/19 1:00,PHARMACEUTICAL DATA ANALYST,"Boulder, CO",True,False
3,24374,3/2/19 19:30,PHARMACEUTICAL DATA ANALYST,"New York, NY",False,False
4,24388,4/4/19 19:30,PHARMACEUTICAL DATA ANALYST,"Chicago, IL",False,True
5,24393,7/30/19 14:50,PHARMACEUTICAL DATA ANALYST,"Long Beach, CA",False,False
6,24395,6/1/19 21:30,PHARMACEUTICAL DATA ANALYST,"Cupertino, CA",False,False
7,24402,8/29/19 17:47,PHARMACEUTICAL DATA ANALYST,"Richardson, TX",False,False
8,24426,10/9/19 13:00,PHARMACEUTICAL DATA ANALYST,"Burbank, CA",True,False
9,24430,5/9/19 11:00,PHARMACEUTICAL DATA ANALYST,"Santa Clara, CA",False,False
10,24434,4/18/19 20:15,PHARMACEUTICAL DATA ANALYST,"San Francisco, CA",False,False
11,24444,10/16/19 9:44,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",True,False
12,24458,4/22/19 11:49,PHARMACEUTICAL DATA ANALYST,"New York, NY",False,False
13,24470,2/13/19 7:00,PHARMACEUTICAL DATA ANALYST,"San Antonio, TX",True,False
14,24473,8/28/19 15:00,PHARMACEUTICAL DATA ANALYST,"San Antonio, TX",False,False
15,24490,9/1/19 16:08,PHARMACEUTICAL DATA ANALYST,"Santa Clara, CA",False,False
16,24491,9/15/19 9:00,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",True,False
17,24498,8/10/19 19:30,PHARMACEUTICAL DATA ANALYST,"Charlotte, NC",True,False
18,24524,7/28/19 21:45,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",False,False
19,24527,7/10/19 12:39,PHARMACEUTICAL DATA ANALYST,"Houston, TX",True,False
20,24529,6/5/19 3:00,PHARMACEUTICAL DATA ANALYST,"Charlotte, NC",True,False
21,24530,1/6/19 17:58,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",False,False
22,24533,7/24/19 15:55,PHARMACEUTICAL DATA ANALYST,"New York, NY",False,False
23,24539,6/28/19 9:41,PHARMACEUTICAL DATA ANALYST,"San Francisco, CA",False,False
24,24545,9/13/19 8:30,PHARMACEUTICAL DATA ANALYST,"Hampton, VA",True,False
25,24547,10/2/19 23:05,PHARMACEUTICAL DATA ANALYST,"Jersey City, NJ",False,False
26,24558,11/13/19 0:15,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",False,False
27,24573,10/16/19 12:00,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",False,False
28,24582,2/18/19 17:00,PHARMACEUTICAL DATA ANALYST,"Austin, TX",False,False
29,24595,9/7/19 0:51,PHARMACEUTICAL DATA ANALYST,"Kent, WA",False,False
